parcours,NBR_CRD_ELP,ECTS,Semestre,COD_ELP1,LIC_ELP1,LIB,remarques,HYBRIDE,LIC_NEL1,TEM_SUS_ELP1,NB_HEURE,NB_GROUPE,CM,TD,M1MGID,M1MCRE,M1MNET,M1MTRN,M1MMCP,M1DTDM,M1MACE,M2MGID,M2MCRE,M2MNET,M2MTRN,M2MMCP,M2MACE,M2DTDM,M1Nanterre,M2Nanterre,M1ERGO,M2ERGO,M1Info,M2CPI,M1Droit,M2Droit,SoSkilled,M1Aegean,M1LasPalmas,M2Aegean,M2LasPalmas,MIP
M1MCRE,3,,2,DMA2EDA9,Animation 2D et vidéo,Animation 2D et vidéo,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,4,,2,DMA2EDAA,Aspects éditoriaux.......,Aspects éditoriaux de la réalisation multimédia ,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MGID,3,,2,DMA2EDB1,Gestion service info-doc.,Gestion d’un service info-documentaire,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MGID,3,,2,DMA2EDB2,Veille & recherche d'info,Veille et recherche d'informations ,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MGID,2,,2,DMA2EDB3,Records management,Records management,,,EC,N,20,1,30,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MGID,3,,2,DMA2EDB4,SRI,Systèmes de recherche d'information (SRI),,,EC,N,21,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MGID,3,,2,DMA2EDB5,GED,Gestion électronique des documents (GED),,,EC,N,24,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MGID,3,,2,DMA2EDB6,Gestion des contenus,Gestion des contenus,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MNET,3,,,DMA2EDC1,Num. tangible & Internet,,plus dans la maquette,,EC,O,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MNET,3,,,DMA2EDC2,Hypermédia et web séman..,Hypermédia et web sémantique,,,EC,N,30,1,50,50,,,,30,,,,,,,,,,,,,,,,,,,,,,,,
M1MNET,3,,,DMA2EDC3,Numérique en entreprise,Numérique en entreprise et management de l'information au sein des organisations ,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MNET,3,,,DMA2EDC4,Num. ligne & nouvelle éco,Numérique en ligne et nouvelle économie,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MNET,3,,,DMA2EDC5,Enjeux actuels du Num.,Enjeux actuels du numérique,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
