,parcours,code,LIB,ECTS
139,M2MMCP,DME3ED06,Politiques publiques de numérisation,2
140,M2MGID,DMA3EDB2,Pratiques info communicationnelles,2
141,M2Nanterre,DME3ED01,Préservation et conservation des documents numériques,2
142,M1MTRN,DMA1EDE2,Production collective interspécialisation sur les transitions numériques,3
143,M1MTRN,DMA2EDE1,Production collective interspécialisation sur les transitions numériques,7
144,M2MTRN,DMA4EDE2,Production collective interspécialisation sur les transitions numériques partie 2,7
145,M1MNET,DMA1EDC3,Programmation de systèmes d’information,6
146,M2MACE,DMA4EDD2,Projet collaboratif tutoré,3
147,M2MNET,DMA3EDC4,Prospectives numériques,3
148,M1MNET,DMA2EDC7,Rapport de stage / apprentissage,9
149,M1MGID,DMA2EDB3,Records management,2
150,M1MTRN,DMA1EDE5,Séminaire intensif sur la conception et l’accompagnement des transitions numériques,3
151,M2MTRN,DMA3EDE2,Séminaire intensif sur la conception et l’accompagnement des transitions numériques,6
152,M2MCRE,DMA4EDA1,Sémiotique des interfaces et des dispositifs numériques,6
153,M1MNET,DMA1EDC4,Sémiotique du numérique,6
154,M1MMCP,DME1ES11,Stage ,5
155,M1Nanterre,DME1ES11,Stage ,5
156,M1MTRN,DMA2ESE1,Stage 2 mois,16
157,M2MGID,DMA4ESB4,Stage et conduite de projets professionnels,12
158,M1MGID,DMA2ESB7,Stage et rapport,8
159,M1MCRE,DMA2EDA6,Suivi développement et intégration,4
160,M2MGID,DMA4EDB2,Système d'information et programmation internet,4
161,M1MGID,DMA2EDB4,Systèmes de recherche d'information (SRI),3
162,M1ERGO,DPA1EDO8,Techniques de créativité et d’innovation,3
163,M2MMCP,DME3ED07,Techniques de visualisation des données et interprétation,3
164,M1MMCP,DME1ED03,Théorie de la médiation culturelle,2
165,M1MMCP,DME2ED08,Traitement des images,2
166,M1MMCP,DME2ED07,Traitement du document,2
167,M2MCRE,DMA3EDA5,Traitement éditorial et création numérique,5
168,M2MCRE,DMA3EDA4,UX Design,5
169,M1MTRN,DMA1EDE4,Veille et prospective,3
170,M2MTRN,DMA3EDE1,Veille et prospective,6
171,M1MGID,DMA2EDB2,Veille et recherche d'informations ,3
172,M2MACE,DMA4EDD8,Veille informationnelle,5
173,M2MGID,DMA3EDB9,Veille stratégique et intelligence économique,2
174,M2MNET,DMA3EDC1,Ville post-numérique,3
175,M1MCRE,DMA1EDAD,Web Graphique et Design des Données (intro. outils num.),3
176,M1MNET,DL0ZEA03,Eng Info STN: M1 NET,3
177,M2MNET,DL0ZEA04,Eng Info STN: M2 NET,3
178,M2MNET,DMA4EDC4,Oral,10
179,M2MNET,DMA4EDC5,Oral,8
180,M2MNET,DMA4EDC6,Rapport,7
181,M2MNET,DMA4ERC1,Mémoire,20
182,M2MNET,DMA4ESC1,Stage  (5-6 mois),15
183,M2MNET,DMA4ESC2,Stage (4-6 mois),3
184,M2MTRN,DMA4ESE1,Stage 3-6 mois,16
185,M1Info,DMB1ED10,Conférences Industrielles,3
186,M1Info,DMBinconnu1,"initiation à PHP, Python",3
187,M1Info,DMBinconnu2,Introduction aux bases de données,3
188,MIP,MIPinconnu1,Atelier de recherche ethnographique,3
189,M2Droit,DBMinconnu3,Droit et éthique des données ,3
190,M2CPI,CPIinconnu1,Droit de l’informatique,3
191,M2MTRN,M2MTRNinconnu1,"Enjeux contemporains de l’éthique, du droit et de la normalisation technique à l’ère numérique",3
