parcours,ECTS,code,LIB,HYBRIDE,NB_HEURE,NB_GROUPE,CM,TD,M1MGID,M1MCRE,M1MNET,M1MTRN,M1MMCP,M1DTDM,M1MACE,M2MGID,M2MCRE,M2MNET,M2MTRN,M2MMCP,M2MACE,M2DTDM,M1Nanterre,M2Nanterre,M1ERGO,M2ERGO,M1Info,M2CPI,M1Droit,M2Droit,SoSkilled,M1Aegean,M1LasPalmas,M2Aegean,M2LasPalmas,MIP
M2MCRE,6,DMA4EDA1,Sémiotique des interfaces et des dispositifs numériques,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MNET,6,DMA1EDC4,Sémiotique du numérique,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MMCP,5,DME1ES11,Stage ,,6,1,0,100,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
M1Nanterre,5,DME1ES11,Stage ,,6,1,0,100,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
M1MTRN,16,DMA2ESE1,Stage 2 mois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MGID,12,DMA4ESB4,Stage et conduite de projets professionnels,,15,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MGID,8,DMA2ESB7,Stage et rapport,,21,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,4,DMA2EDA6,Suivi développement et intégration,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MGID,4,DMA4EDB2,Système d'information et programmation internet,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MGID,3,DMA2EDB4,Systèmes de recherche d'information (SRI),,21,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1ERGO,3,DPA1EDO8,Techniques de créativité et d’innovation,,30,1,50,50,,,,30,,,,,,,,,,,,,,,,,,,,,,,,
M2MMCP,3,DME3ED07,Techniques de visualisation des données et interprétation,,24,1,50,50,,,,,,,,,,,,,,,,24,,,,,,,,,,,,
M1MMCP,2,DME1ED03,Théorie de la médiation culturelle,,12,1,100,0,,,,,,,,,,,,,,,12,,,,,,,,,,,,,
M1MMCP,2,DME2ED08,Traitement des images,,24,1,0,100,,,,,,,,,,,,,,,24,,,,,,,,,,,,,
M1MMCP,2,DME2ED07,Traitement du document,,24,1,0,100,,,,,,,,,,,,,,,24,,,,,,,,,,,,,
M2MCRE,5,DMA3EDA5,Traitement éditorial et création numérique,,30,1,50,50,,,,,,,,,,,30,,,,,,,,,,,,,,,,,
M2MCRE,5,DMA3EDA4,UX Design,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MTRN,3,DMA1EDE4,Veille et prospective,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MTRN,6,DMA3EDE1,Veille et prospective,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MGID,3,DMA2EDB2,Veille et recherche d'informations ,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MACE,5,DMA4EDD8,Veille informationnelle,,20,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MGID,2,DMA3EDB9,Veille stratégique et intelligence économique,,30,1,30,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,3,DMA3EDC1,Ville post-numérique,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MCRE,3,DMA1EDAD,Web Graphique et Design des Données (intro. outils num.),,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1MNET,,DL0ZEA03,Eng Info STN: M1 NET,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,,DL0ZEA04,Eng Info STN: M2 NET,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,10,DMA4EDC4,Oral,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,8,DMA4EDC5,Oral,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,7,DMA4EDC6,Rapport,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,20,DMA4ERC1,Mémoire,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,15,DMA4ESC1,Stage  (5-6 mois),,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,,DMA4ESC2,Stage (4-6 mois),,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MTRN,16,DMA4ESE1,Stage 3-6 mois,,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1Info,3,DMB1ED10,Conférences Industrielles,,30,1,50,50,,,,30,,,,,,,,,,,,,,,,,,,,,,,,
M1Info,3,DMBinconnu1,"initiation à PHP, Python",,30,1,50,50,,,,30,,,,,,,,,,,,,,,,,,,,,,,,
M1Info,3,DMBinconnu2,Introduction aux bases de données,,30,1,50,50,,,,30,,,,,,,,,,,,,,,,,,,,,,,,
MIP,3,MIPinconnu1,Atelier de recherche ethnographique,,18,1,50,50,,,,,,,,,,,30,,,,,,,,,,,,,,,,,
M2Droit,3,DBMinconnu3,Droit et éthique des données ,,15,1,50,50,,,,,,,,,,,15,,,,,,,,,,,,,,,,,
M2CPI,3,CPIinconnu1,Droit de l’informatique,,24,1,50,50,,,,,,,,,,,24,,,,,,,,,,,,,,,,,
M2MTRN,3,M2MTRNinconnu1,"Enjeux contemporains de l’éthique, du droit et de la normalisation technique à l’ère numérique",,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
